state,stateFullName,searches,user_cookies,sum_search_result_count,update_date
MN,Minnesota,2102580,598109,856426393,2025-01-06 19:55:05.054158
AZ,Arizona,4086457,1061160,1904112451,2025-01-06 19:55:05.054158
KY,Kentucky,3076377,801314,996289069,2025-01-06 19:55:05.054158
CT,Connecticut,1674419,472796,649376246,2025-01-06 19:55:05.054158
KS,Kansas,1854156,562547,779307341,2025-01-06 19:55:05.054158
AL,Alabama,2798949,672139,957439165,2025-01-06 19:55:05.054158
MO,Missouri,4803343,1222448,2286744488,2025-01-06 19:55:05.054158
AP,"",2543,917,814007,2025-01-06 19:55:05.054158
CO,Colorado,3721377,1025868,1547648700,2025-01-06 19:55:05.054158
AA,"",1212,374,462942,2025-01-06 19:55:05.054158
MT,Montana,350143,103366,108966336,2025-01-06 19:55:05.054158
MP,Northern Mariana Islands,1323,191,330950,2025-01-06 19:55:05.054158
PR,Puerto Rico,121201,28511,30187572,2025-01-06 19:55:05.054158
NE,Nebraska,1303878,315483,499247054,2025-01-06 19:55:05.054158
AE,"",2188,619,881713,2025-01-06 19:55:05.054158
OH,Ohio,7246003,1792132,3122102496,2025-01-06 19:55:05.054158
ID,Idaho,1307712,338100,521171917,2025-01-06 19:55:05.054158
TN,Tennessee,5062102,1248271,1807775734,2025-01-06 19:55:05.054158
WI,Wisconsin,3027113,787361,1082599277,2025-01-06 19:55:05.054158
OK,Oklahoma,2590256,669073,858498850,2025-01-06 19:55:05.054158
TX,Texas,28447683,5488874,14766766008,2025-01-06 19:55:05.054158
OR,Oregon,1712332,446748,538373116,2025-01-06 19:55:05.054158
NC,North Carolina,7932857,1950134,3491491044,2025-01-06 19:55:05.054158
NV,Nevada,1901586,501647,836894676,2025-01-06 19:55:05.054158
LA,Louisiana,3968058,941394,1740908924,2025-01-06 19:55:05.054158
VA,Virginia,6580233,1588140,2517664467,2025-01-06 19:55:05.054158
ND,North Dakota,327073,99477,103351591,2025-01-06 19:55:05.054158
IA,Iowa,2084444,572336,822420758,2025-01-06 19:55:05.054158
ME,Maine,954864,272227,424454883,2025-01-06 19:55:05.054158
MS,Mississippi,1885758,453892,665513826,2025-01-06 19:55:05.054158
PA,Pennsylvania,8372656,2280248,4271327498,2025-01-06 19:55:05.054158
AR,Arkansas,2496158,610960,868929022,2025-01-06 19:55:05.054158
MA,Massachusetts,4616912,1309517,1893907441,2025-01-06 19:55:05.054158
AS,American Samoa,391,114,127091,2025-01-06 19:55:05.054158
FM,Federated States of Micronesia,76,11,13141,2025-01-06 19:55:05.054158
NJ,New Jersey,4762115,1429409,2212852073,2025-01-06 19:55:05.054158
HI,Hawaii,589658,162612,225704673,2025-01-06 19:55:05.054158
SC,South Carolina,3842451,938269,1418077777,2025-01-06 19:55:05.054158
FL,Florida,23189493,5783898,12436494878,2025-01-06 19:55:05.054158
AK,Alaska,283743,73360,93952818,2025-01-06 19:55:05.054158
DE,Delaware,808589,188253,327750910,2025-01-06 19:55:05.054158
WY,Wyoming,238027,76800,58119011,2025-01-06 19:55:05.054158
MD,Maryland,3922439,1084962,2477889062,2025-01-06 19:55:05.054158
CA,California,20056716,5425519,12512981477,2025-01-06 19:55:05.054158
VT,Vermont,222427,65262,63011925,2025-01-06 19:55:05.054158
DC,District of Columbia,1398763,340766,859005338,2025-01-06 19:55:05.054158
RI,Rhode Island,572113,177716,198491241,2025-01-06 19:55:05.054158
GA,Georgia,9863030,2301461,4124895063,2025-01-06 19:55:05.054158
WV,West Virginia,1645978,487079,613542409,2025-01-06 19:55:05.054158
UT,Utah,1035609,270262,351683901,2025-01-06 19:55:05.054158
NH,New Hampshire,680923,206631,205326559,2025-01-06 19:55:05.054158
GU,Guam,12739,2982,3198347,2025-01-06 19:55:05.054158
WA,Washington,3938664,1019686,1582727002,2025-01-06 19:55:05.054158
NM,New Mexico,1059797,300286,314187548,2025-01-06 19:55:05.054158
VI,Virgin Islands,12235,2105,2420659,2025-01-06 19:55:05.054158
SD,South Dakota,404050,137709,107014897,2025-01-06 19:55:05.054158
MH,Marshall Islands,37,8,11634,2025-01-06 19:55:05.054158
IL,Illinois,5430547,1422470,3190089071,2025-01-06 19:55:05.054158
IN,Indiana,7430903,1666333,3787984733,2025-01-06 19:55:05.054158
NY,New York,9709399,2705875,6952594975,2025-01-06 19:55:05.054158
MI,Michigan,5529718,1414321,2526414509,2025-01-06 19:55:05.054158
PW,Palau,20,9,11718,2025-01-06 19:55:05.054158
